SampleId,LD1,LD2,Class
0,-4.700244008506271,1.9791383470464632,1
1,-4.301958109390893,1.170412858484192,1
2,-3.4207195199299796,1.4291013882226515,1
3,-4.205753664139869,4.002871483450442,1
4,-1.5099816767285374,0.4512238981877002,1
5,-4.518689341055185,3.213137562777073,1
6,-4.527377943305989,3.2691217912511212,1
7,-4.148347810825574,3.104117652926149,1
8,-3.8608287615726935,1.9533826291204823,1
9,-3.366624444620389,1.6786432689901865,1
10,-4.805879067411837,2.235362713725453,1
11,-3.4280764581115792,2.175109393274667,1
12,-3.6661024584838433,2.262489606544051,1
13,-5.58824634930371,2.0547877320460106,1
14,-5.501314488366543,3.613048652363669,1
15,-3.1847518929455814,2.8895252843532546,1
16,-3.289369883671367,2.765842659743248,1
17,-2.998092617279582,1.4251113222091538,1
18,-5.2464037176006935,3.7098265525921397,1
19,-3.13653106495467,1.976899221711186,1
20,-3.5774779101042045,0.5624599046252663,1
21,-1.6907713461377347,0.9134213628356296,1
22,-4.835150326063507,0.9147628011970961,1
23,-3.0958896050434643,0.6173588844335035,1
24,-3.321647163319945,0.298477344473754,1
25,-2.144822225489382,0.16369246714729724,1
26,-3.9824284979566213,2.1751567948432244,1
27,-2.6859143150114253,1.2185092379457476,1
28,-3.563094636414846,1.0381765107892602,1
29,-3.1730157323309958,1.377896244563599,1
30,-2.9962679683545517,1.3241989606462965,1
31,-3.568662444424668,2.3406547787215115,1
32,-3.3850638318123014,0.20123425982883453,1
33,-3.5275375037326806,1.715927388940991,1
34,-2.851908516578958,1.4707077126681136,1
35,-2.794119959372563,0.23793093003101154,1
36,-2.7580851101928965,1.569704208439228,1
37,-2.1773447722891124,1.0103645533524261,1
38,-3.0292638244030483,-0.2350958280680327,1
39,-3.2710522827693507,2.6040459027815706,1
40,-2.9206553279711964,0.2552334287367903,1
41,-2.2372106205727595,0.9194611639570063,1
42,-4.6997256829581655,2.56075339241016,1
43,-1.2303613325699299,0.422595150519974,1
44,-2.582039040656314,-0.35029194771525946,1
45,-2.583120491798682,2.8768657233711807,1
46,-3.8888788930394083,2.0516040784764966,1
47,-3.449753561686926,0.9518391713506702,1
48,-2.342233314692644,1.4325894990980852,1
49,-3.5206259598711744,2.0815535647324825,1
50,-3.218409120802125,0.8791286960779758,1
51,-4.382148964925034,2.164715727700366,1
52,-4.363117271346945,2.2718292846052757,1
53,-3.519172927754425,3.007373725383158,1
54,-3.1227747521422504,1.5935666945729858,1
55,-1.8024053953210308,1.3300615571660397,1
56,-2.8737875380849065,1.7298994247654893,1
57,-3.616905179739485,2.291157528678967,1
58,-3.7386855084550157,2.460118028779496,1
59,1.5861874919979786,-2.4238441563956195,2
60,0.7996721574038527,-1.394064605942238,2
61,2.380154455854788,-1.4518865852256464,2
62,-0.45917725812412813,-1.1904536488886734,2
63,-0.5072688503830781,-3.166624034189542,2
64,0.3939835860764578,-2.7798417041721666,2
65,-0.9225661578646338,-1.3887236831886496,2
66,-1.9554937686097322,-2.6936062933233096,2
67,-0.34732815320010063,-2.592899029580597,2
68,0.2037121203870713,0.01962134955866084,2
69,-0.2483191404761341,-2.756176100510951,2
70,1.1798799850773782,-0.9003427659028083,2
71,-1.077189252920769,-1.8267011799752555,2
72,0.641001792357197,-1.4453136749388813,2
73,-1.7468442121843515,-1.7845585885058073,2
74,-0.34721116943874675,-1.4881068193182438,2
75,1.1427422170955623,-3.089248998353108,2
76,0.18665882359273242,-2.6731709576364096,2
77,0.9005250035938828,-1.8194235683420312,2
78,-0.7070955104577107,-2.1230444885318955,2
79,-0.5956283253580443,-2.4896224519485255,2
80,-0.5576181808515727,-4.653037777482009,2
81,-1.8043041679152803,-1.4871494506984015,2
82,0.23077079227111166,-2.8428754696499645,2
83,2.034827107005217,-0.7903200302976175,2
84,-0.6211302120925705,-1.6968958833045933,2
85,-1.0337274208228278,-2.441437623010722,2
86,0.7659878054453425,-3.446414022723954,2
87,0.3504256778363679,-3.2293569812022516,2
88,0.15324508352924912,-2.1128776711118675,2
89,-0.14962842129288303,-2.9919320962877816,2
90,0.4807950392026489,-2.5400240797767233,2
91,1.3968901589289762,-2.540822911626104,2
92,0.9197233098174501,-2.2485966508437336,2
93,-0.5910293741397112,-2.938453934698512,2
